,Temperature,Humidity,WindSpeed,GeneralDiffuseFlows,PowerConsumption
0,6.559,73.8,0.083,0.051,34055.6962
1,6.414,74.5,0.083,0.07,29814.68354
2,6.313,74.5,0.08,0.062,29128.10127
3,6.121,75.0,0.083,0.091,28228.86076
4,5.921,75.7,0.081,0.048,27335.6962
5,5.853,76.9,0.081,0.059,26624.81013
6,5.641,77.7,0.08,0.048,25998.98734
7,5.496,78.2,0.085,0.055,25446.07595
8,5.678,78.1,0.081,0.066,24777.72152
9,5.491,77.3,0.082,0.062,24279.49367
10,5.516,77.5,0.081,0.051,23896.70886
11,5.471,76.7,0.083,0.059,23544.3038
12,5.059,78.6,0.081,0.07,23003.5443
13,4.968,78.8,0.084,0.07,22329.11392
14,4.975,78.9,0.083,0.055,22092.1519
15,4.897,79.1,0.083,0.07,21903.79747
16,5.02,79.7,0.081,0.051,21685.06329
17,5.407,78.5,0.082,0.062,21484.55696
18,5.169,77.9,0.083,0.066,21107.8481
19,5.081,77.7,0.084,0.051,20998.48101
20,5.041,77.2,0.081,0.062,20870.88608
21,5.034,76.9,0.083,0.051,20870.88608
22,4.896,76.6,0.085,0.07,20597.46835
23,4.805,76.2,0.081,0.059,20421.26582
24,4.753,75.7,0.083,0.044,20524.55696
25,4.901,74.4,0.083,0.07,20482.02532
26,5.203,74.1,0.085,0.062,20530.63291
27,5.394,71.9,0.081,0.073,20512.40506
28,5.156,74.0,0.079,0.062,20494.17722
29,5.179,74.2,0.083,0.037,20311.89873
30,4.934,72.9,0.082,0.055,20542.78481
31,4.718,75.8,0.08,0.051,20621.77215
32,5.546,74.0,0.082,0.055,20627.8481
33,4.658,73.5,0.08,0.044,20797.97468
34,4.382,76.9,0.081,0.073,20858.73418
35,4.212,78.3,0.081,0.117,21393.41772
36,4.308,77.2,0.081,0.062,22219.74684
37,4.735,74.3,0.08,0.04,21928.10127
38,4.769,75.6,0.082,0.099,21776.20253
39,4.92,73.7,0.083,0.099,21654.68354
