,Temperature,Humidity,WindSpeed,GeneralDiffuseFlows
41932,17.83,93.6,0.084,0.077
41933,17.97,93.4,0.091,0.084
41934,17.98,93.3,0.092,0.095
41935,18.0,93.4,0.094,0.073
41936,18.04,93.4,0.071,0.102
41937,18.15,93.5,0.072,0.084
41938,18.39,93.6,0.066,0.077
41939,18.48,93.4,0.067,0.077
41940,18.5,93.2,0.068,0.084
41941,18.37,93.1,0.069,0.08
41942,18.23,93.1,0.071,0.073
41943,18.17,93.2,0.067,0.069
41944,18.09,93.2,0.068,0.091
41945,18.04,93.1,0.067,0.069
41946,17.97,92.8,0.064,0.102
41947,18.03,92.7,0.065,0.172
41948,18.05,92.5,0.066,0.603
41949,18.09,92.4,0.066,19.42
41950,18.13,92.2,0.062,34.47
41951,18.2,91.9,0.068,31.42
41952,18.27,91.6,0.073,28.34
41953,18.3,91.2,0.068,30.67
41954,18.39,90.8,0.071,33.5
41955,18.44,90.5,0.072,39.27
41956,18.51,90.3,0.066,31.55
41957,18.45,90.2,0.066,32.11
41958,18.5,90.2,0.068,37.43
41959,18.61,89.7,0.067,47.17
41960,18.69,89.2,0.064,72.7
41961,19.02,87.7,0.065,54.89
41962,19.48,84.7,0.065,56.04
41963,19.83,80.2,0.064,49.05
41964,19.98,76.2,3.305,71.2
41965,19.99,73.6,4.905,53.08
41966,19.97,74.0,4.907,103.4
41967,19.89,76.0,4.907,140.0
41968,19.86,76.7,4.906,141.9
41969,19.88,77.2,4.909,169.0
41970,20.02,77.4,4.908,216.8
41971,20.08,76.7,4.909,243.1
41972,20.25,75.9,4.922,275.6
41973,20.42,74.4,4.914,310.2
41974,20.7,74.5,4.918,469.9
41975,21.36,74.0,4.928,626.8
41976,21.61,71.5,4.92,377.5
41977,22.02,69.55,4.915,661.2
41978,22.52,69.51,4.921,670.7
41979,22.54,69.41,4.918,542.4
41980,22.61,69.45,4.92,571.1
41981,22.58,68.75,4.92,295.8
41982,22.34,67.85,4.918,408.5
41983,22.54,66.74,4.914,305.0
41984,22.81,65.58,4.926,338.0
41985,22.87,63.97,4.916,278.7
41986,23.06,63.11,4.917,282.5
41987,23.11,62.07,4.922,244.1
41988,23.16,60.21,4.918,230.4
41989,23.37,59.11,4.918,252.2
41990,23.53,61.74,4.92,232.8
41991,23.36,67.11,4.921,184.1
41992,22.71,69.24,4.919,172.5
41993,22.59,69.71,4.918,186.0
41994,22.61,70.5,4.92,204.6
41995,22.41,71.4,4.923,133.3
41996,22.31,71.2,4.917,130.2
