,Temperature,Humidity,WindSpeed,GeneralDiffuseFlows,PowerConsumption
31449,28.62,60.19,4.903,350.1,36592.94118
31450,29.14,58.82,4.902,491.8,37213.05216
31451,29.66,56.72,4.906,402.5,38683.41842
31452,30.08,55.45,4.903,486.4,39201.24306
31453,31.04,51.22,4.902,572.6,39744.63929
31454,31.95,43.65,4.902,559.9,40185.74917
31455,32.78,31.68,4.904,366.9,38523.596
31456,33.07,31.18,4.904,544.9,38907.16981
31457,33.56,30.51,4.904,633.2,38363.77358
31458,33.51,32.01,4.908,442.7,39054.20644
31459,33.31,31.81,4.902,369.5,40339.17869
31460,33.4,32.88,4.906,299.9,41374.82797
31461,33.23,32.78,4.903,307.2,41950.18868
31462,33.13,33.44,4.906,290.9,43363.01887
31463,33.14,34.48,4.908,363.9,43919.20089
31464,33.19,35.68,4.905,351.8,44213.27414
31465,33.23,36.25,4.904,278.9,44091.8091
31466,33.45,34.88,4.903,232.8,44027.88013
31467,33.81,33.38,4.906,218.1,43804.12875
31468,33.42,41.58,4.908,195.5,43938.37958
31469,31.51,49.72,4.908,233.6,43586.77026
31470,30.46,53.58,4.904,342.2,43804.12875
31471,30.21,54.22,4.905,398.3,43931.98668
31472,30.75,51.62,4.904,485.1,44098.202
31473,30.94,51.58,4.904,463.5,44098.202
31474,30.65,53.28,4.905,489.8,43823.30744
31475,30.62,52.62,4.902,553.0,43113.69589
31476,30.92,50.85,4.903,711.0,42544.72808
31477,31.11,49.68,4.905,810.0,43273.51831
31478,30.85,51.25,4.902,608.9,43107.303
31479,30.54,51.98,4.905,560.3,43164.83907
31480,30.67,51.88,4.906,616.7,43030.58824
31481,31.04,50.38,4.907,724.0,43235.16093
31482,31.02,50.08,4.907,753.0,42960.26637
31483,31.02,49.42,4.906,723.0,42563.90677
31484,31.24,48.98,4.906,619.4,42519.15649
31485,31.24,48.75,4.908,662.8,41298.11321
31486,31.36,48.55,4.905,614.8,42167.54717
31487,31.4,47.18,4.907,450.0,41905.4384
31488,31.06,47.68,4.906,265.0,41425.97114
31489,31.03,47.85,4.909,312.1,41234.18424
31490,30.89,50.15,4.905,346.8,41112.7192
31491,30.56,52.02,4.906,322.8,40524.5727
31492,30.19,53.42,4.906,223.2,40626.85905
31493,29.89,55.25,4.905,195.9,40556.53718
31494,29.59,57.39,4.903,176.5,40313.6071
31495,29.19,59.79,4.905,175.6,40204.92786
31496,28.94,60.65,4.904,185.7,40243.28524
31497,28.7,61.92,4.903,210.0,40045.10544
31498,28.63,62.62,4.903,194.9,40224.10655
31499,28.62,63.79,4.903,231.5,40473.42952
31500,28.56,64.75,4.906,239.7,40268.85683
31501,28.44,65.92,4.904,225.8,40313.6071
31502,28.33,66.66,4.904,217.3,40786.68147
31503,28.28,67.39,4.902,199.7,40984.86127
31504,28.2,68.19,4.903,192.4,41189.43396
31505,28.05,70.2,4.904,135.9,41707.2586
31506,27.92,71.2,4.904,94.0,42404.08435
31507,27.86,71.7,4.903,80.4,44123.77358
31508,27.71,73.6,4.904,87.1,46930.25527
31509,27.62,74.4,4.902,65.4,50280.13319
31510,27.58,74.6,4.904,49.09,51341.35405
31511,27.57,75.0,4.903,40.49,51718.53496
31512,27.51,76.2,4.904,27.13,51955.07214
31513,27.38,77.4,4.902,11.08,52146.85905
31514,27.24,78.0,4.904,1.436,52204.39512
31515,27.24,78.7,4.907,0.358,52038.1798
31516,27.3,79.3,4.907,0.113,51545.92675
31517,27.31,80.3,4.908,0.077,51175.13873
31518,27.25,81.4,4.903,0.08,50778.77913
31519,27.16,82.1,4.909,0.084,50465.52719
31520,27.1,82.5,4.909,0.095,50427.16981
31521,27.07,82.9,4.907,0.066,50133.09656
31522,27.04,83.3,4.907,0.102,49915.73807
31523,26.99,83.7,4.909,0.095,49327.59156
31524,26.96,84.1,4.905,0.073,48528.47947
31525,26.88,84.7,4.91,0.08,48119.33407
31526,26.82,85.0,4.914,0.102,47345.79356
31527,26.75,85.3,4.911,0.095,46808.79023
31528,26.61,85.9,4.912,0.121,46259.00111
31529,26.55,86.0,4.912,0.084,45664.46171
31530,26.58,86.1,4.908,0.077,44750.27747
31531,26.65,85.9,4.906,0.091,44136.55938
31532,26.66,85.8,4.911,0.084,42960.26637
31533,26.57,85.7,4.911,0.062,41911.8313
31534,26.32,85.9,4.91,0.069,41362.04218
31535,26.14,86.0,4.91,0.099,40479.82242
31536,26.22,85.7,4.907,0.099,39731.8535
31537,26.27,85.2,4.907,0.099,39092.56382
31538,26.43,84.8,4.908,0.088,38191.16537
31539,26.49,84.1,4.907,0.073,37347.303
31540,26.5,83.7,4.909,0.069,36554.5838
31541,26.53,83.2,4.908,0.077,35998.40178
31542,26.5,83.0,4.904,0.095,35154.5394
31543,26.48,83.5,4.906,0.095,34854.07325
31544,26.33,84.5,4.908,0.069,34419.35627
31545,26.22,85.5,4.911,0.099,34112.49723
31546,26.08,86.6,4.909,0.11,33549.92231
31547,26.02,87.1,4.91,0.095,32974.5616
31548,26.0,87.8,4.907,0.099,32590.98779
31549,26.02,87.9,4.908,0.066,32252.16426
31550,25.88,88.2,4.906,0.073,32009.23418
31551,25.8,88.5,4.908,0.073,31676.80355
31552,25.81,88.7,4.909,0.088,31485.01665
31553,25.86,88.9,4.909,0.091,31210.12209
31554,25.86,89.1,4.907,0.088,31056.69256
31555,25.82,89.4,4.909,0.099,30967.19201
31556,25.8,89.5,4.907,0.073,30743.44062
31557,25.81,90.0,4.909,0.077,30519.68923
31558,25.97,89.9,4.91,0.055,30762.61931
31559,25.89,90.1,4.911,0.077,31312.40844
31560,25.88,90.2,4.912,0.088,31357.15871
